s_cpu,s_mem,s_node_frag,s_active,s_lbf_c,s_lbf_m,b_cpu_avg,b_mem_avg,w_pod,w_cpu,w_mem,w_pow,r_pow,r_node_frag,r_paper_frag,r_unsched,r_active,r_lbf_c,r_lbf_m
0.6707,0.7259,0.3005,30,0.4776,0.4122,0.975,5.0123,0.3113,0.3284,0.2351,0.1252,8026.85,0.260161,0.0,0.0,30,0.3846,0.2959
0.707,0.7667,0.2602,30,0.3846,0.2959,1.0166,4.8921,0.0942,0.4425,0.1423,0.3209,8112.06,0.221716,0.0,0.0,30,0.3617,0.264
0.7472,0.8056,0.2217,30,0.3617,0.264,1.0562,5.0838,0.4052,0.0613,0.1657,0.3678,8376.01,0.180412,0.0,0.0,30,0.2808,0.1689
0.7798,0.8505,0.1804,30,0.2808,0.1689,1.011,5.0601,0.8507,0.0659,0.0576,0.0258,8423.14,0.156305,0.004689,0.03,30,0.2619,0.1467
0.803,0.8763,0.1563,30,0.2619,0.1467,0.9818,5.1137,0.1857,0.3573,0.3437,0.1133,8423.14,0.156305,0.018472,0.1182,30,0.2619,0.1467
0.803,0.8763,0.1563,30,0.2619,0.1467,1.0474,4.9846,0.1364,0.3169,0.2705,0.2762,8423.14,0.156305,0.029958,0.1917,30,0.2619,0.1467
0.0,0.0,1.0,0,0,0,0.9748,5.0767,0.0413,0.3795,0.3411,0.238,934.83,0.630464,0.0,0.0,14,1.1558,1.1163
0.3576,0.3795,0.6305,14,1.1558,1.1163,1.036,5.2172,0.189,0.2496,0.2722,0.2892,2842.5,0.461541,0.0,0.0,22,0.7975,0.7363
0.4901,0.5624,0.4615,22,0.7975,0.7363,0.9688,4.9625,0.0701,0.0644,0.0716,0.7939,5394.54,0.404203,0.0,0.0,27,0.6493,0.6158
0.5453,0.6234,0.4042,27,0.6493,0.6158,1.0238,4.9828,0.3315,0.2782,0.2692,0.1211,7584.54,0.362189,0.0,0.0,30,0.526,0.4898
0.5836,0.6658,0.3622,30,0.526,0.4898,0.9726,5.0261,0.2889,0.2382,0.3714,0.1015,7842.08,0.316313,0.0,0.0,30,0.443,0.4062
0.6252,0.7131,0.3163,30,0.443,0.4062,1.0046,4.9706,0.0126,0.1029,0.8219,0.0627,7967.93,0.274111,0.0,0.0,30,0.4055,0.3679
0.6643,0.7578,0.2741,30,0.4055,0.3679,1.0824,4.8589,0.2944,0.3361,0.1457,0.2237,8089.36,0.238409,0.0,0.0,30,0.3646,0.3014
0.7134,0.7934,0.2384,30,0.3646,0.3014,0.9878,5.0646,0.3259,0.2047,0.3248,0.1447,8245.79,0.198769,0.0,0.0,30,0.3134,0.236
0.751,0.8341,0.1988,30,0.3134,0.236,0.9296,5.0102,0.0813,0.7753,0.0789,0.0645,8380.9,0.162506,0.0,0.0,30,0.2641,0.1706
0.7843,0.8731,0.1625,30,0.2641,0.1706,1.0034,4.9377,0.4495,0.2729,0.1972,0.0804,8418.21,0.144542,0.006649,0.046,30,0.2487,0.1429
0.802,0.891,0.1445,30,0.2487,0.1429,0.9526,5.0924,0.338,0.2478,0.2694,0.1449,8418.21,0.144542,0.019185,0.1327,30,0.2487,0.1429
0.802,0.891,0.1445,30,0.2487,0.1429,0.99,5.0112,0.2103,0.2283,0.2036,0.3578,8418.21,0.144542,0.029631,0.205,30,0.2487,0.1429
0.0,0.0,1.0,0,0,0,1.0234,5.049,0.028,0.0409,0.0967,0.8345,1380.06,0.652073,0.0,0.0,17,1.0729,0.9878
