s_cpu,s_mem,s_frag,w_pod,w_cpu,w_mem,w_pow,r_frag,r_unsched,r_pow,r_lbf_c,r_lbf_m
0.838087719298246,0.9116877948113208,0.022262743495752187,0.3933,0.1437,0.1546,0.3084,0.034984311207610586,0.2,8418.300960802308,0.2853305675748371,0.16261916457659872
0.838087719298246,0.9116877948113208,0.034984311207610586,0.306,0.3046,0.1564,0.2329,0.045748714656106165,0.26153846153846155,8418.300960802308,0.2853305675748371,0.16261916457659872
0.0,0.0,0.0,0.1001,0.284,0.3364,0.2795,0.0,0.0,1959.6294535169914,0.9513686293695184,0.867820846101163
0.09310526315789475,0.09524100825471699,0.0,0.2515,0.2695,0.1383,0.3407,0.0,0.0,2847.864113070599,0.8050345582539703,0.729959149864265
0.17805263157894732,0.19067917158018868,0.0,0.3101,0.4592,0.0767,0.154,0.0,0.0,7118.242383107271,0.6495164590642284,0.6175116698890795
0.2713859649122807,0.28192032724056604,0.0,0.3608,0.0972,0.331,0.211,0.0,0.0,7570.480352340264,0.5267942423206957,0.49494622836693236
0.3584561403508772,0.37541494693396227,0.0,0.1571,0.3409,0.2508,0.2511,0.0,0.0,7805.046692521718,0.4450775019067041,0.4198616474788403
0.4520175438596492,0.4715554982311321,0.0,0.2527,0.0642,0.4228,0.2604,0.0,0.0,7949.486828808134,0.41354217985052577,0.353375190096005
0.537421052631579,0.569186320754717,0.0,0.0849,0.5066,0.1936,0.2149,0.0,0.0,8063.234226175943,0.38820403024043443,0.2998708697741687
0.6252456140350877,0.6634673496462264,0.0,0.2516,0.3543,0.2531,0.1411,0.0,0.0,8229.705802233733,0.3442992324806696,0.2366996708907933
0.7130526315789474,0.7580605100235849,0.0,0.2683,0.2562,0.1733,0.3022,0.0,0.0,8373.716298816316,0.2899397377584197,0.1780799480800006
0.8000526315789475,0.853346845518868,0.0,0.3541,0.1988,0.1887,0.2584,0.009789048616289372,0.054,8418.35352924845,0.2728771783766687,0.17012878622842165
0.8354035087719299,0.8960650058962264,0.009789048616289372,0.4139,0.2612,0.2427,0.0822,0.025379014931120592,0.14,8418.35352924845,0.2728771783766687,0.17012878622842165
0.8354035087719299,0.8960650058962264,0.025379014931120592,0.2948,0.2564,0.3146,0.1342,0.03837065352681328,0.21166666666666667,8418.35352924845,0.2728771783766687,0.17012878622842165
0.8354035087719299,0.8960650058962264,0.03837065352681328,0.3381,0.2362,0.1808,0.245,0.04936357849239939,0.2723076923076923,8418.35352924845,0.2728771783766687,0.17012878622842165
0.0,0.0,0.0,0.2654,0.2772,0.3149,0.1425,0.0,0.0,1941.913615167813,1.0020138252939266,0.8815566806069487
0.08864912280701755,0.09483932783018868,0.0,0.1835,0.0613,0.3813,0.3739,0.0,0.0,2460.624340485041,0.8204776640333931,0.7387553110565436
0.17485964912280705,0.18774616745283018,0.0,0.1405,0.413,0.2636,0.1829,0.0,0.0,7039.544290757988,0.6801607087579657,0.6020990581787867
0.2568771929824561,0.287330852004717,0.0,0.2554,0.1279,0.2887,0.328,0.0,0.0,7518.3785205382255,0.5550619956413695,0.48590320151896055
0.3440350877192983,0.37937131485849057,0.0,0.2007,0.0894,0.3632,0.3467,0.0,0.0,7748.0091202838075,0.474870978309276,0.41298113570494566
0.43878947368421056,0.47370540978773584,0.0,0.2956,0.159,0.2539,0.2915,0.0,0.0,7883.866384561127,0.4395547364678033,0.35834924402102747
0.5318596491228069,0.568177329009434,0.0,0.3428,0.1709,0.1147,0.3716,0.0,0.0,8033.772890004247,0.407511434234055,0.3019447310194879
0.6159473684210527,0.6624432488207547,0.0,0.304,0.0413,0.3245,0.3301,0.0,0.0,8185.725330323409,0.3669750307875681,0.24373786404178105
0.7018771929824562,0.7560580041273585,0.0,0.2268,0.1846,0.4282,0.1604,0.0,0.0,8357.848978794198,0.3069111009519537,0.18142344941190514
0.790736842105263,0.8511744545990566,0.0,0.1263,0.3259,0.3347,0.2131,0.009119653832311107,0.05,8410.045461807264,0.2878672831350089,0.16911635871592262
0.8348771929824561,0.898860922759434,0.009119653832311107,0.103,0.074,0.3268,0.4963,0.02487178317903028,0.13636363636363635,8410.045461807264,0.2878672831350089,0.16911635871592262
0.8348771929824561,0.898860922759434,0.02487178317903028,0.342,0.3147,0.0846,0.2587,0.0379985576346296,0.20833333333333334,8410.045461807264,0.2878672831350089,0.16911635871592262
0.8348771929824561,0.898860922759434,0.0379985576346296,0.2498,0.3098,0.2232,0.2172,0.04910582832782903,0.2692307692307692,8410.045461807264,0.2878672831350089,0.16911635871592262
0.0,0.0,0.0,0.1033,0.2703,0.2803,0.3461,0.0,0.0,1928.1426328320492,0.984192450794626,0.9020485049338758
0.08308771929824561,0.09654296875,0.0,0.1258,0.2915,0.1171,0.4656,0.0,0.0,2096.54645662523,0.8141139152836899,0.7338123764183805
